gender,age,occupation,education,income,children,ethnicity,ev_owner,ev_count,ev_motivation,ev_type,ev_model,ev_range,ev_experience,public_charging_frequency,charger_compatibility,home_type,home_charging_method,daily_trips,trip_purpose,parking_location,parking_duration,daily_distance,max_wait_time,preferred_charge_time,location_flexibility,weekly_charge_frequency,avg_charge_duration,info_preference,walking_distance,ac_vs_dc_preference,charger_choice_reason,travel_to_charger,satisfaction_score,memorable_experience,difficulty_finding_station,accessibility_importance,station_choice_factors,improvement_suggestions,facility_improvement_ideas,statements_agreement,user_involvement_belief,charging_effect_on_time,recharge_threshold,future_features,long_trip_planning,newcastle_distribution_rating,parking_habits_effect,parking_convenience,pc
Male,35-44,Employed,Bachelor's degree,"£50,001 - £70,000",Yes - children aged 5 to 10 years old,White,Yes,1,Other (please specify),Battery EV (exclusively powered by a rechargeable battery),Volvo XC90 Twin Engine,300-400 km,1-3 years,Weekly,Not sure,Single family house/townhouse with dedicated parking,I do not charge at home,3 to 4,Work/School,Home,More than 8 hours,30km to 50km,< 10 minutes.,6pm to 12am,Somewhat flexible (can be a minor detour),3 to 4 times,1 to 3 hours,In-car navigation system,Less than 1km,DC Charger,Cost.,1km to 3km,1.0,I once needed a charge while travelling on the motorway and had to wait 30 mins for one to be available ,Yes,5.0,"Proximity to my destination, Cost of charging, Safety and security of the location",Have more of them,Increase the number of charging stations,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Yes,Increases travel time significantly.,20% - 40%,Just have more availability ,I choose charging stations that are conveniently located along my preferred route.,1.0,No impact on my parking habits.,Much less convenient,DH7
Male,35-44,Employed,Bachelor's degree,"£50,001 - £70,000",Yes - children aged under 5 years old,White,Yes,1,Cost savings,Battery EV (exclusively powered by a rechargeable battery),Other (please specify),300-400 km,1-3 years,Rarely,Not sure,Single family house/townhouse with dedicated parking,Fixed/hard-wired Level 2 charging station,1 to 2,"Leisure, Errands",Home,More than 8 hours,Less than 10km,< 10 minutes.,6pm to 12am,Somewhat flexible (can be a minor detour),1 to 2 times,More than 6 hours,Mobile app,1km to 2km,DC Charger,Duration of charge.,3km to 6km,3.0,"I was on a journey to pick my mum up and I needed a quick charge. I went to a local supermarket which had a charging station. There was a Tesla with the fast charger plugged in, but it wasn't actually using it, meaning I had to use the slower charger which added time onto my journey.",No,2.0,"Availability of fast charging, Cost of charging, Amenities available nearby (e.g., restrooms, shops)",A simpler method of queueing to get rid of the free for all that sometimes happens.,Increase the number of charging stations,I charge my vehicle when I need to regardless of peak energy usage hours.,Yes,No impact on travel time.,20% - 40%,Unsure,I only consider charging stations as a backup plan o d. I do not consider charging stations in my route planning.,3.0,No impact on my parking habits.,Slightly more convenient,DL3
Female,45-54,Employed,Master's degree,"£50,001 - £70,000",Yes - children aged 5 to 10 years old,White,Yes,1,Cost savings,Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),Toyota Prius,400-500 km,6 months - 1 year,Never,My EV is not capable of DC fast charging,Single family house/townhouse with dedicated parking,I do not charge at home,More than 4,"Work/School, Leisure, Returning Home",Home,More than 8 hours,10km to 30km,< 10 minutes.,6am to 12pm,Somewhat flexible (can be a minor detour),1 to 2 times,1 to 3 hours,Mobile app,Less than 1km,DC Charger,Duration of charge.,Less than 1km,2.0,Broken!,No,5.0,"Proximity to my destination, Availability of fast charging, Cost of charging",More of them ,Increase the number of charging stations,It is more convenient to charge my vehicle directly after ending every trip.,Yes,Slightly reduces travel time.,20% - 40%,Lots of them,I plan my route entirely around charging stations.,3.0,No impact on my parking habits.,Slightly more convenient,NE28
Male,25-34,Employed,Master's degree,"£50,001 - £70,000",No children aged 18 or under,White,Yes,1,Environmental concerns,Battery EV (exclusively powered by a rechargeable battery),Tesla Model 3,300-400 km,6 months - 1 year,Weekly,Supercharger (Tesla),Single family house/townhouse with dedicated parking,Fixed/hard-wired Level 2 charging station,3 to 4,"Work/School, Errands, Returning Home",Home,More than 8 hours,10km to 30km,< 10 minutes.,6pm to 12am,Not flexible (must be very close to usual routes),1 to 2 times,Less than 1 hour,Mobile app,Less than 1km,DC Charger,Duration of charge.,3km to 6km,2.0,"I had some built really close to my house, at a nearby supermarket. Sadly, they aren't looked after, and have been broken for a while now, which means I have to travel further out, if I'm not at home.",Yes,4.0,"Availability of fast charging, Safety and security of the location","Having them away from regular cars, so there's more space to get around.",Improve reliability and maintenance of existing stations,It is more convenient to charge my vehicle only after ending my trips for the day.,Yes,Increases travel time significantly.,20% - 40%,"Use sensors to monitor parking space availability and guide users to open spots, preventing congestion.",I plan my route entirely around charging stations.,3.0,No impact on my parking habits.,Slightly less convenient,NE1
Male,35-44,Employed,Bachelor's degree,"£35,001 - £50,000",Yes - children aged under 5 years old,Asian / Asian British,Yes,1,Technological interest,Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),Toyota Prius,200-300 km,1-3 years,Rarely,CCS (Combined Charging System; or Combo 2; or SAE),Single family house/townhouse with dedicated parking,Standard wall electrical outlet (Level 1),1 to 2,"Work/School, Errands",Home,More than 8 hours,Less than 10km,< 10 minutes.,12am to 6am,Not flexible (must be very close to usual routes),1 to 2 times,More than 6 hours,In-car navigation system,Less than 1km,DC Charger,Duration of charge.,1km to 3km,1.0,"I was on a trip to London and had to stop along the way for a quick charging top-up.  The charging station I stopped at was completely empty, which I have never experienced before, so I was able to relax in the car and have a short 30 min charge before carrying on my way.",Yes,5.0,"Proximity to my destination, Availability of fast charging, Cost of charging, User-friendly interface","Have one app for all chargers, cheaper costs, more stations available to charge, less congestion with other EV users.",Increase the number of charging stations,It is more convenient to charge my vehicle only after ending my trips for the day.,Yes,Slightly increases travel time.,20% - 40%,"One single app, not multiple different option. Standard charging cable",I plan my route entirely around charging stations.,2.0,I have to park further from my destination.,Slightly more convenient,NE2
Male,25-34,Employed,Master's degree,"£20,000 - £35,000",No children aged 18 or under,Black / African / Caribbean / Black British,Yes,1,Cost savings,Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),Toyota Prius,100-200 km,6 months - 1 year,Weekly,CCS (Combined Charging System; or Combo 2; or SAE),Rental apartment in high-rise building,Standard wall electrical outlet (Level 1),1 to 2,"Work/School, Returning Home",Home,1 to 3 hours,10km to 30km,20 to 30 minutes.,12pm to 6pm,Somewhat flexible (can be a minor detour),1 to 2 times,3 to 6 hours,Mobile app,1km to 2km,DC Charger,Duration of charge.,1km to 3km,3.0,"When it was my turn,someone walked up to me and said he was in a haste and would pay double to charge before me,he wasn't even polite.",Yes,5.0,"Availability of fast charging, Environmental considerations (e.g., renewable energy sources)","Fast charging speed,upgrade to higher-power chargers to reduce charging time and comfortable waiting areas like providing seats,shade,and amenities like WiFi.",Increase the number of charging stations,It is more convenient to charge my vehicle only after ending my trips for the day.,Yes,Slightly reduces travel time.,20% - 40%,Clear signage and simple payment option.,I choose charging stations that are conveniently located along my preferred route.,4.0,I can park closer to my destination.,Slightly more convenient,NE2
Male,45-54,Employed,Master's degree,"£35,001 - £50,000",No children aged 18 or under,White,Yes,1,Environmental concerns,Battery EV (exclusively powered by a rechargeable battery),Other (please specify),400-500 km,1-3 years,Rarely,CCS (Combined Charging System; or Combo 2; or SAE),Single family house/townhouse with dedicated parking,Fixed/hard-wired Level 2 charging station,1 to 2,"Leisure, Errands",Home,5 to 8 hours,50km to 100km,< 10 minutes.,12am to 6am,Somewhat flexible (can be a minor detour),1 to 2 times,3 to 6 hours,Online map,1km to 2km,DC Charger,Duration of charge.,1km to 3km,3.0,More often the not it seems the first charger I try doesn't work and I have to move to another one in the row.  This has happened at multiple public charging stations.,Yes,4.0,"Proximity to my destination, Availability of fast charging, Cost of charging",Better maintenance,Increase the number of charging stations,It is more convenient to charge my vehicle only after ending my trips for the day.,Not sure,Slightly increases travel time.,20% - 40%,Covered area above charging stations for protection from bad weather,I choose charging stations that are conveniently located along my preferred route.,3.0,No impact on my parking habits.,No difference,NE6
Male,35-44,Employed,Master's degree,"£35,001 - £50,000",No children aged 18 or under,Black / African / Caribbean / Black British,Yes,1,Cost savings,Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),Hyundai Ioniq,100-200 km,6 months - 1 year,Weekly,CCS (Combined Charging System; or Combo 2; or SAE),"Rental apartment in low-rise building (e.g., duplex, triplex, basement apartment)",Fixed/hard-wired Level 2 charging station,1 to 2,"Work/School, Returning Home",Home,More than 8 hours,10km to 30km,20 to 30 minutes.,6pm to 12am,Somewhat flexible (can be a minor detour),3 to 4 times,1 to 3 hours,Mobile app,Less than 1km,DC Charger,Duration of charge.,Less than 1km,4.0,I was allowed to charge by a good guy when when he arrived before me. I was in a hurry on that day.,No,4.0,Availability of fast charging,Faster charging duration ,Increase the number of charging stations,I choose to charge my vehicle regardless of the cost.,Yes,Increases travel time significantly.,Below 20%,Faster Chargers,I choose charging stations that are conveniently located along my preferred route.,4.0,No impact on my parking habits.,Slightly less convenient,NE12
Female,18-24,Employed,Master's degree,"£20,000 - £35,000",No children aged 18 or under,Asian / Asian British,Yes,1,Cost savings,Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),BMW 5 Series,300-400 km,1-3 years,Weekly,Not sure,"Rental apartment in low-rise building (e.g., duplex, triplex, basement apartment)",I do not charge at home,3 to 4,Work/School,Home,5 to 8 hours,30km to 50km,10 to 20 minutes.,12am to 6am,Somewhat flexible (can be a minor detour),1 to 2 times,1 to 3 hours,Online map,1km to 2km,AC Charger,Cost.,1km to 3km,3.0,I once had to queue for over an hour for a charging station at a mall,Yes,4.0,"Proximity to my destination, Availability of fast charging, Cost of charging, User-friendly interface, Safety and security of the location, Amenities available nearby (e.g., restrooms, shops)",Making their locations more known ,Increase the number of charging stations,It is more convenient to charge my vehicle directly after ending every trip.,Yes,Slightly increases travel time.,60% - 80%,Clear signs and instructions ,I choose charging stations that are conveniently located along my preferred route.,2.0,I have to park further from my destination.,Slightly less convenient,DH1
Male,35-44,Employed,Bachelor's degree,"£50,001 - £70,000",No children aged 18 or under,Mixed,Yes,1,Cost savings,Battery EV (exclusively powered by a rechargeable battery),Nissan Leaf,100-200 km,More than 3 years,Rarely,CHAdeMO,Single family house/townhouse without dedicated parking,Fixed/hard-wired Level 2 charging station,1 to 2,"Leisure, Returning Home",Home,5 to 8 hours,Less than 10km,< 10 minutes.,6pm to 12am,Somewhat flexible (can be a minor detour),1 to 2 times,3 to 6 hours,Mobile app,Less than 1km,DC Charger,Cost.,Less than 1km,2.0,There's not enough,Yes,3.0,"Proximity to my destination, Cost of charging",More stations,Increase the number of charging stations,It is more convenient to charge my vehicle only after ending my trips for the day.,Yes,Increases travel time significantly.,20% - 40%,More stations,I plan my route entirely around charging stations.,3.0,No impact on my parking habits.,No difference,NE7
